FIPS,Percent_change_fast_food_restaurants_2011_2016,FIPS,Percent_change_convenience_stores_2011_2016,FIPS,Metro_nonmetro_counties_2010,FIPS,Persistent_poverty_counties_2010,FIPS,Population_loss_counties_2010,FIPS,Recreation_fitness_facilities_2011,FIPS,Grocery_stores_2011,FIPS,Low_access_to_stores_2010,FIPS,SNAP_benefits_per_capita_2012,FIPS,WIC_redemptions_per_capita_2011
2261,-8.733940043,2261,19.20464974,2261,0,2261,0,2261,0.0,2261,0.205296654,2261,0.718538288,2261,2693.67593307198,2261,15.134394645690918,2261,20.268945693969727
2270,0.0,2270,0.0,2270,0,2270,1,2270,,2270,0.0,2270,0.0,2270,4955.07725083246,2270,,2270,
2275,0.0,2275,0.0,2275,0,2275,0,2275,0.0,2275,0.0,2275,0.0,2275,510.624434692214,2275,17.46424674987793,2275,
2282,0.0,2282,0.0,2282,0,2282,0,2282,0.0,2282,0.0,2282,3.048780488,2282,2.52215271244313,2282,22.213855743408203,2282,
2290,0.0,2290,-30.635624538,2290,0,2290,1,2290,1.0,2290,0.0,2290,2.131060202,2290,5587.99999538775,2290,86.35609436035156,2290,27.077606201171875
4001,-24.153041066,4001,21.950012404,4001,0,4001,1,4001,0.0,4001,0.0,4001,0.138544452,4001,46746.8174681343,4001,48.648712158203125,4001,33.114952087402344
4003,-10.84778938,4003,9.781805637,4003,1,4003,0,4003,0.0,4003,0.082736627,4003,0.112822673,4003,51625.2914215173,4003,22.001224517822266,4003,19.144315719604492
4005,-0.316598352,4005,-7.672752991,4005,1,4005,0,4005,0.0,4005,0.059621,4005,0.126694539,4005,40657.183878157,4005,22.64917755126953,4005,12.19340991973877
4007,-2.802875368,4007,0.234534777,4007,0,4007,0,4007,0.0,4007,0.093594399,4007,0.131032159,4007,12811.3191663223,4007,32.867374420166016,4007,25.14794921875
4009,-26.276908412,4009,-6.876094836,4009,0,4009,0,4009,0.0,4009,0.080810258,4009,0.161620515,4009,11662.5092760463,4009,26.374216079711914,4009,6.096811771392822
4011,167.14122415,4011,-33.214693962,4011,0,4011,0,4011,0.0,4011,0.0,4011,0.116699732,4011,5957.31443491796,4011,15.848962783813477,4011,
4012,0.287482337,4012,10.844059425,4012,0,4012,0,4012,0.0,4012,0.0,4012,0.340103003,4012,8877.86827063897,4012,26.34361457824707,4012,22.876794815063477
4013,5.337478378,4013,-11.246052755,4013,1,4013,0,4013,0.0,4013,0.072099991,4013,0.12533511,4013,492281.154146267,4013,19.794273376464844,4013,17.106855392456055
4015,8.490716293,4015,2.073838047,4015,1,4015,0,4015,0.0,4015,0.073988941,4015,0.108517114,4015,88373.5088322313,4015,27.436264038085938,4015,18.79691505432129
4017,6.10313185,4017,-5.70511992,4017,0,4017,1,4017,0.0,4017,0.0279023,4017,0.148812292,4017,35575.1284850008,4017,42.5724983215332,4017,23.44764518737793
