FIPS,State,County,Predicted_change_obese
38057,North Dakota,Mercer,2.829819985706388
38059,North Dakota,Morton,1.6041601925293762
38061,North Dakota,Mountrail,2.8763541927075345
38063,North Dakota,Nelson,4.297104714195584
38065,North Dakota,Oliver,1.747705655621555
38067,North Dakota,Pembina,2.8093977958688896
38069,North Dakota,Pierce,4.132405543976938
38071,North Dakota,Ramsey,3.1664301276824562
38073,North Dakota,Ransom,3.4030432791644287
38075,North Dakota,Renville,4.325970336985595
38077,North Dakota,Richland,2.4563211997976193
38079,North Dakota,Rolette,3.5049137303321345
38081,North Dakota,Sargent,3.73445504410612
38083,North Dakota,Sheridan,3.223837090473083
38085,North Dakota,Sioux,3.0258197041466737
38089,North Dakota,Stark,3.1278729931596057
38091,North Dakota,Steele,2.6536952023017832
38093,North Dakota,Stutsman,2.7539219446708696
38095,North Dakota,Towner,3.472317654029002
38097,North Dakota,Traill,3.117331998313354
38099,North Dakota,Walsh,2.6499356234990388
38101,North Dakota,Ward,1.191051349383858
38103,North Dakota,Wells,4.46081852718795
38105,North Dakota,Williams,3.5595755806686817
56001,Wyoming,Albany,0.9959028370144526
56003,Wyoming,Big Horn,-0.5009377269619986
56005,Wyoming,Campbell,4.367904784702381
56007,Wyoming,Carbon,-2.2849084594830473
56009,Wyoming,Converse,0.9933481973978169
56011,Wyoming,Crook,1.8178011225097972
56013,Wyoming,Fremont,1.6415630080801877
56015,Wyoming,Goshen,1.9020906449104424
56017,Wyoming,Hot Springs,-1.4069527481474937
56019,Wyoming,Johnson,1.6998141091011347
56021,Wyoming,Laramie,3.1843833162352446
56023,Wyoming,Lincoln,1.3232121866703637
56025,Wyoming,Natrona,2.212825031777166
56027,Wyoming,Niobrara,0.2484923393632057
56029,Wyoming,Park,3.3534030348300514
56031,Wyoming,Platte,2.63875777044571
56033,Wyoming,Sheridan,-1.123783408625939
56035,Wyoming,Sublette,-2.07051952725826
56037,Wyoming,Sweetwater,-1.2908268795756723
56039,Wyoming,Teton,-0.8656677241316363
56041,Wyoming,Uinta,-0.7864405050769613
56043,Wyoming,Washakie,0.11573873262882817
56045,Wyoming,Weston,0.8026958657125725
21001,Kentucky,Adair,2.0170910820233043
21003,Kentucky,Allen,1.7393255472677516
21005,Kentucky,Anderson,2.6858151825170165
21007,Kentucky,Ballard,4.1314308177725465
21009,Kentucky,Barren,3.950611879594582
21011,Kentucky,Bath,3.1317898231557386
21013,Kentucky,Bell,4.071469046588876
21015,Kentucky,Boone,-1.34577276741034
21017,Kentucky,Bourbon,0.9900773009982993
21019,Kentucky,Boyd,2.9189484170560163
21021,Kentucky,Boyle,2.0038320604255446
21023,Kentucky,Bracken,1.6466455678412224
21025,Kentucky,Breathitt,0.8265165475301725
21027,Kentucky,Breckinridge,3.5628011637789925
21029,Kentucky,Bullitt,0.26028180080299623
21031,Kentucky,Butler,1.2912698779881886
